case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP
Case: 0001,1056.74143600464,608738.385323317,58865.3783243878,19873.0069989295,400000,130000,"[[5], [3, 4, 6, 7, 8, 10], [1, 2, 9]]","[[32], [3, 11, 7, 2, 6, 4], [18, 3, 2]]","[[0.37940812078510394], [0.05799237191411109, 0.0004293528101896818, 0.03394010676118324, 0.007161668236272276, 0.0026489674209385747, 0.038996358024795216], [0.1952801976304687, 0.019126448465183507, 0.03844994047933662]]","[1, 1, 2]",3224.66776915989,0.532550737609255
Case: 0002,9921.37244677544,82335.4835768549,17796.3968039059,7139.08677294898,50000,7400,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20], [14, 17]]","[[6, 4, 3, 14, 8, 1, 3, 4, 8, 5, 2, 16, 6, 2, 4, 7, 3, 1], [4, 9]]","[[0.09092597777557551, 0.01661392092204961, 0.03195187241699596, 0.005080516952888404, 0.08432297666417347, 0.0054465166807752515, 0.0018362515588823116, 0.025328432744624606, 0.04818719235533685, 0.04443871297178171, 0.01597375372535326, 0.0030240782610484306, 0.022505583719017497, 0.02375069515042686, 0.05979517184941471, 0.06590671444208511, 2.7441817502584165e-05, 0.030206944099542787], [0.006474179369509745, 0.057602422016669166]]","[4, 1]",5157.40975247123,6.68248052446444
Case: 0003,19455.3852829933,115573.597196374,19795.4535042233,7778.14369215104,80000,8000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[22, 14, 48, 19, 29, 16, 7, 5, 4, 3]]","[[0.00884460604925563, 0.0009236309541279973, 0.08749692942076459, 0.2103308283746651, 0.0953256625622334, 0.23318866491291076, 0.07115569679285684, 0.00892457158550829, 0.052821219629687645, 0.036391495860945144]]",[8],3066.58352305216,2.72568209121287
Case: 0004,12336.6618020535,1214788.01077247,104746.615276632,30041.3954958396,800000,280000,"[[8, 10, 13, 18], [1, 2, 5, 9, 16], [3, 6], [4, 7, 14, 15, 17, 19], [11, 12, 20]]","[[112, 8, 9, 8], [6, 2, 5, 4, 11], [6, 38], [3, 9, 8, 10, 14, 21], [22, 130, 19]]","[[0.0638473118862445, 0.009800012743647543, 0.09706777809463446, 0.08870309083031878], [0.07399729856283958, 0.02559927343351705, 0.07805506643687751, 0.025981650315000316, 0.12778134607320007], [0.05199447637855534, 0.05958883422021377], [0.021445857743649124, 0.0676915456825319, 0.11392073732252085, 0.009059959988168028, 0.0300711159172474, 0.10632098309747275], [0.022861182815694152, 0.004525904520155718, 0.16041553234666256]]","[2, 1, 3, 1, 1]",-324972.751061148,-21.1054054055875
Case: 0005,433.420154094696,99031.9218750096,20370.8090261004,6661.11284890922,60000,12000,"[[1, 2], [3, 8, 10], [7], [6, 9], [4, 5]]","[[3, 2], [18, 2, 2], [24], [6, 1], [6, 6]]","[[0.04893682971875796, 0.013895264636096678], [0.01072987544667861, 0.04458297893224379, 0.03674730020804052], [0.004543021175296415], [0.06458369228572852, 0.008882917194427903], [0.051961618763620085, 0.024991558385889713]]","[1, 1, 1, 1, 2]",248.986770640942,0.252054436707997
Case: 0006,3801.97062897682,617075.207046423,69457.1817403934,19618.0253060294,500000,28000,"[[3, 10, 12, 14, 16, 19], [1, 5, 6, 7, 9, 11, 15, 20], [4, 17, 18], [2, 8, 13]]","[[6, 8, 8, 5, 7, 1], [9, 3, 3, 2, 7, 4, 7, 8], [7, 26, 5], [20, 11, 44]]","[[0.001156932027571389, 0.007047188914701066, 0.09584233939387175, 0.04393102109427685, 0.035590875459385066, 0.009916802823545278], [0.013537389560752861, 0.039242667859868324, 0.03051712204494234, 0.005570915352626591, 0.007142937421469722, 0.04109152676798851, 0.016871430006011125, 0.037708888328585335], [0.10528558908865723, 0.11672844219678738, 0.021886294823459315], [0.11081958336367616, 0.04929541246260905, 0.008392370771214188]]","[1, 2, 1, 1]",31452.907260958,5.37085204447993
Case: 0007,3184.38129401207,979001.451374431,46091.3531196049,11910.0982548258,900000,21000,"[[2, 7], [1, 5, 6], [3, 9, 10], [4, 8]]","[[10, 18], [6, 5, 6], [2, 7, 14], [82, 114]]","[[0.08793623497813695, 0.06818037953477654], [0.02039468215782711, 0.02877182134768091, 0.05569526423784932], [0.004723304537696316, 0.08083032602203624, 0.03295164295327398], [0.08483465550397556, 0.0014359176103215159]]","[1, 1, 2, 5]",-17680.7638270977,-1.7739620068893
Case: 0008,9837.24624991417,188309.380598829,32573.4710627254,9735.90953610329,110000,36000,"[[1, 5, 11], [2, 6, 18, 20], [7, 14, 15], [4, 10, 16, 17], [3, 9, 19], [8, 12, 13]]","[[1, 16, 10], [3, 4, 5, 3], [5, 4, 8], [4, 8, 3, 4], [9, 11, 4], [4, 14, 5]]","[[0.00043427177117473547, 0.030397374234558006, 0.005937914918956113], [0.035742421271304746, 0.07079751454307127, 0.004737523454746517, 0.06907851222173189], [0.058875643397574784, 0.023697959508382195, 0.0013394892037521503], [0.01370981294768217, 0.017774130804647587, 0.030783757360042293, 0.012593531332954995], [0.015477997618954896, 0.010409499531260889, 0.020197727681494113], [0.022444136446604958, 0.03397402233879058, 0.028953249847949232]]","[2, 2, 1, 1, 2, 3]",3723.50297001243,2.01721985335196
Case: 0009,2045.94306302071,70684.7436054667,13482.5170228867,4702.22658258008,50000,2500,"[[2, 3, 5, 7, 10], [1, 4, 6, 8, 9]]","[[4, 8, 5, 2, 3], [2, 2, 3, 4, 2]]","[[0.009261061725355286, 0.01768015187927561, 0.007828258140389927, 0.03104727176269544, 0.013847535994245996], [0.023863489798268973, 0.03290275434580296, 0.007080380007063594, 0.02855260398686384, 0.026332204738214238]]","[3, 2]",3158.73107991536,4.67779891300426
Case: 0010,6557.26788401604,754349.915253334,41083.603882584,13266.31137075,500000,200000,"[[11, 17, 20], [4, 5, 6, 13], [2, 8, 12, 15, 16], [1, 3], [7, 9, 10, 14, 18, 19]]","[[5, 2, 3], [3, 1, 6, 1], [2, 3, 2, 4, 4], [8, 7], [11, 2, 3, 5, 3, 2]]","[[0.025342930910350843, 0.014140655169546008, 0.03710379355098561], [0.009609040769189328, 0.015589230162422208, 0.055879195854021346, 0.041988841821508104], [0.0085834178501009, 0.012477896863693144, 0.008169142906843178, 0.008047799675534692, 0.043463757515975816], [0.019354734878983586, 0.06170506392647555], [0.012909474979145168, 0.02565116533181207, 0.020361148604826747, 0.041606167082994014, 0.010772438921234716, 0.01039958323338991]]","[1, 1, 1, 1, 1]",-84053.7278437411,-10.0254487842211
Case: 0011,621.284218072891,1042867.63660163,87666.3657137152,25201.2708879182,800000,130000,"[[3, 4], [8, 9], [5, 10], [2], [6], [1, 7]]","[[40, 16], [11, 16], [12, 8], [13], [12], [4, 26]]","[[0.02253716916790836, 0.14400210167587077], [0.07359711242704946, 0.14328499533679995], [0.09458009332406367, 0.023997790332334856], [0.09992893618112757], [0.03543281274746326], [0.0341711627273182, 0.048091606570457815]]","[2, 1, 1, 2, 1, 1]",-73446.6903200597,-6.57939153415629
Case: 0012,64016.1636970043,145362.192060916,35444.1486951153,11418.0433658003,90000,8500,"[[1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 16, 17, 18, 19], [13, 14], [2, 10, 20]]","[[12, 4, 24, 9, 2, 12, 5, 3, 8, 6, 16, 2, 5, 3, 37], [9, 3], [8, 3, 7]]","[[0.012177969281056618, 0.03558875218633893, 0.22754767287351227, 0.03517055034146305, 0.0065579751306530125, 0.07201986163097451, 0.017268244131036066, 0.04736146107566519, 0.08283277042049435, 0.04927936838598026, 0.12571924998633896, 0.002396649609325611, 0.013726146178817322, 0.020975320048871315, 0.0718504382385877], [0.0573763751887891, 0.012920397388968633], [0.015398088157026948, 0.01815260637494729, 0.025742789029740337]]","[5, 2, 2]",5399.71669620604,3.85797456220722
Case: 0013,2889.05188798904,650065.18667975,105332.129460177,29733.0572195728,500000,15000,"[[5, 6], [2, 3, 7, 8, 10], [1, 4, 9]]","[[10, 11], [2, 3, 2, 3, 3], [15, 110, 12]]","[[0.07828384519384812, 0.006904644203178203], [0.004925749172056028, 0.022905699228201293, 0.014000099194514075, 0.026003331185554084, 0.03347612003699679], [0.0620183752772078, 0.671599893953093, 0.012949740987668166]]","[2, 1, 2]",51972.2821233979,8.68966706133213
Case: 0014,2254.511977911,140763.94852595,27787.3412673213,6976.60725862897,80000,26000,"[[6, 9, 14, 16, 17, 18], [12, 13, 15, 20], [2, 7], [1, 10, 11, 19], [5], [3, 8], [4]]","[[2, 2, 1, 2, 1, 2], [6, 3, 3, 1], [3, 5], [3, 2, 1, 2], [4], [2, 5], [4]]","[[0.0036243063841921736, 0.01718263998253295, 0.020972304973772282, 0.013012074020432744, 0.011150215859261414, 0.004943987971555875], [0.009497367155557896, 0.002918990706824354, 0.010284996994350157, 0.0011402081864289014], [0.006515551713184092, 0.01775493405742954], [0.007746940332724422, 0.007750927237239034, 0.0074890476479576, 0.016782326611566728], [0.026206471338149316], [0.02594463024055214, 0.045684883166615176], [0.024065976234439623]]","[2, 1, 1, 1, 1, 1, 1]",-5098.8500497826,-3.49564803333679
Case: 0015,34249.0372750759,180310.759763171,33394.9829962614,8915.77676690986,110000,28000,"[[1, 3, 4, 7], [5], [2, 9, 10], [6, 8]]","[[4, 0, 5, 4], [30], [60, 48, 22], [7, 11]]","[[0.023273110902787192, 0.023389948244371246, 0.028740238790999524, 0.03126936533080796], [0.01948086855855551], [0.2737148873855971, 0.24265275420913435, 0.16220427376184635], [0.009893159903788253, 0.05243171316905492]]","[2, 2, 4, 3]",3185.04955709734,1.79818590615205
Case: 0016,34330.2183270454,1255460.89574565,97103.5507790051,29357.3449666479,1000000,129000,"[[15], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20], [11]]","[[6], [4, 19, 4, 2, 31, 5, 3, 2, 3, 17, 6, 5, 8, 11, 11, 10, 3, 4], [20]]","[[0.02434445364677179], [0.04516006333451128, 0.03265482401721397, 0.004680684288784713, 0.007008618368711143, 0.2652059506321057, 0.04637386468733917, 0.002777732779117162, 0.021982833237340273, 0.0536400214609324, 0.07701542292785285, 0.03138438821442778, 0.009245266258194003, 0.020871680007706617, 0.05874014959050682, 0.04436377257639339, 0.11529730925123538, 0.013795500396739033, 0.010583294090481955], [0.13049799292450462]]","[2, 7, 1]",107199.692455083,9.33582813282217
Case: 0017,2279.86797189713,445857.193811038,19167.5955883523,4689.59822268533,400000,22000,"[[1, 3, 4, 6, 7, 8], [2, 5, 9, 10]]","[[5, 20, 8, 31, 3, 12], [1, 2, 4, 2]]","[[0.01296055276616444, 0.04280739377323399, 0.010316937321328443, 0.032750478809913344, 0.010237718150743907, 0.03062937205980749], [0.01663474806364963, 0.009111263954361215, 0.012000770082341709, 0.02870518710764583]]","[3, 1]",-11621.6746204232,-2.54037408553316
Case: 0018,3783.21936297417,90461.4959666275,15033.3688429556,5428.12712367189,50000,20000,"[[1, 2, 6, 8, 13, 18], [3, 4, 9, 11], [7, 10, 17, 19, 20], [12, 15, 16], [5, 14]]","[[0, 2, 0, 1, 2, 3], [7, 2, 3, 4], [3, 2, 5, 3, 2], [3, 4, 4], [11, 8]]","[[0.03823865493872292, 0.02916210079457055, 0.046581251980751984, 0.021148413746032727, 0.016277130746185205, 0.011430788100050557], [0.015208473362227293, 0.00701778129432513, 0.00999495336691509, 0.02129988463362817], [0.01684586931983014, 0.016507223366308596, 0.012435052521594051, 0.020391297285433905, 0.013183782967145815], [0.017111491849746956, 0.032414982442545696, 0.015929094596539572], [0.024052512378138723, 0.011859072310072863]]","[1, 1, 1, 1, 1]",-10888.2725339534,-10.7432633493297
Case: 0019,1432.67697405815,142770.271565723,18094.2524952379,4676.01907048537,100000,20000,"[[1, 4], [2, 3, 7], [10], [6, 8, 9], [5]]","[[7, 9], [1, 1, 1], [5], [5, 11, 9], [17]]","[[0.008083559350529792, 0.030397384896695967], [0.0025759728300808775, 0.01855785254949012, 0.013074316792964401], [0.020576348527152233], [0.013337477586991393, 0.01327966840254435, 0.029024427702425876], [0.01690753333317746]]","[2, 1, 1, 3, 3]",-9781.11009171233,-6.4116824019834
Case: 0020,8468.07334899902,881056.425325318,93022.5042161221,24033.9211091962,700000,64000,"[[1, 4, 8, 9, 10, 11, 12, 14, 15, 17, 19, 20], [2, 3, 5, 6, 7, 13, 16, 18]]","[[9, 2, 7, 12, 4, 1, 5, 3, 9, 13, 3, 9], [7, 57, 9, 37, 8, 28, 12, 36]]","[[0.07469336672087164, 0.014933291149976505, 0.023096017067533718, 0.10825717046104749, 0.03445314447048912, 0.018053890180385043, 0.04868789883066951, 0.03090179302192163, 0.052125988627432514, 0.04251493094717553, 0.01666444378116144, 0.0768730582840608], [0.013782465552894713, 0.061506225870240454, 0.03470714304133405, 0.11976081122318491, 0.01300773540596018, 0.07298298798653607, 0.04399508775118085, 0.07341781154460504]]","[2, 5]",-117102.591454811,-11.7318572979045
Case: 0021,2513.47322106361,70954.1379953429,13376.7136697006,4777.42432564226,50000,2800,"[[1, 2, 3, 4, 7, 8, 9, 10], [5, 6]]","[[2, 1, 0, 16, 3, 1, 11, 6], [11, 14]]","[[0.017677195121508393, 0.014780592310070513, 0.05633143018863782, 0.033621089978996196, 0.0054524111454938564, 0.01771760987115944, 0.040995249210672075, 0.10374303169666933], [0.03127770190876336, 0.021791236722938534]]","[3, 2]",2389.38030073498,3.48485195758649
Case: 0022,6329.99452280998,837543.724693528,28075.8366947202,9467.88799880752,600000,200000,"[[2, 3, 6, 12, 13, 15], [4, 7, 10], [5, 9, 11, 14, 18], [8, 16, 19, 20], [1], [17]]","[[4, 2, 2, 1, 3, 2], [8, 2, 1], [8, 5, 2, 1, 1], [2, 9, 5, 3], [48], [5]]","[[0.028646869003640073, 0.021493909896932364, 0.03162312186986549, 0.024940609368672664, 0.024532888309628877, 0.026094773528701737], [0.037411204803096385, 0.006835465334944242, 0.006186569600350892], [0.042873262307253655, 0.031737551346546274, 0.04130874434394239, 0.041124955048015235, 0.03772559369684645], [0.023567465817119056, 0.0404486459038841, 0.03835025905315675, 0.015730860176054663], [0.030048411835422985], [0.012307303479902356]]","[1, 1, 1, 1, 1, 1]",-71928.8314932888,-7.90885123514532
Case: 0023,707.048490047455,1143728.1983646,65196.3371368609,18531.8612277385,900000,160000,"[[1, 9], [7], [2, 5], [3, 8], [10], [4, 6]]","[[52, 13], [69], [4, 91], [12, 2], [73], [7, 2]]","[[0.170507039068398, 0.21164154275321245], [0.34426906974358934], [0.05929747199270695, 0.25543791090616297], [0.07056800979733098, 0.114918595251868], [0.2933925467204552], [0.04206789480335124, 0.09283720779449606]]","[2, 1, 3, 1, 1, 1]",-43983.6023913873,-3.70322180544064
Case: 0024,63854.3312110901,151301.960714095,21725.2595830493,7776.70113104584,110000,11800,"[[1, 2, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20], [3], [5, 19], [6]]","[[5, 2, 6, 7, 4, 3, 3, 5, 8, 3, 7, 5, 6, 2, 9, 2], [5], [18, 13], [22]]","[[0.01970595634903475, 0.06971343435376884, 0.01667109258493274, 0.014331705104216866, 0.01408108659412672, 0.012913278804861641, 0.03632576394381162, 0.009333579027684532, 0.038299064777580334, 0.007817890614495459, 0.04706982214769557, 0.011809160276156156, 0.1161012022632434, 0.003633040036746647, 0.03614450821242554, 0.041695762930721955], [0.009758858850326721], [0.009367940727791473, 0.04461648190415194], [0.024553768822426623]]","[7, 1, 2, 1]",11621.1373242121,8.31978008303591
Case: 0025,406.499990224838,84828.8603918958,11015.9190634458,3812.94132845,60000,10000,"[[2, 8], [10], [5], [3, 4, 7], [1], [6, 9]]","[[5, 11], [6], [7], [0, 3, 2], [5], [8, 2]]","[[0.016512893628548995, 0.05031001820210842], [0.011405310907555333], [0.028875408392363713], [0.05666522108289313, 0.03373449909016673, 0.007871518531988992], [0.02283417178649804], [0.026083057331916643, 0.01453031212642642]]","[1, 1, 1, 1, 1, 1]",4485.89592915954,5.58343342090661
Case: 0026,5788.7537548542,539858.718908442,41844.6860974474,18014.0328109948,400000,80000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[8, 3, 12, 9, 6, 13, 4, 15, 7, 3, 7, 4, 2, 5, 7, 4, 3, 5, 1, 4]]","[[0.1649976544837522, 0.00962068184263238, 0.03355537693868896, 0.06389493152174952, 0.03250094604361426, 0.027416414846199735, 0.02831536642685447, 0.07112960526918222, 0.024928335582758296, 0.01583470837872351, 0.030910963097476374, 0.019757963115713102, 0.013041358696093323, 0.02799657665662105, 0.02805492626366788, 0.07147727152256725, 0.08819917782271165, 0.027816108616815643, 0.037503187099650975, 0.08883060954178447]]",[4],-21623.4566058824,-3.85113856661167
Case: 0027,1213.12602591515,897775.28576814,64988.489713426,16786.7960547137,800000,16000,"[[1, 6, 9, 10], [4, 8], [3, 5], [7], [2]]","[[5, 9, 11, 14], [19, 29], [15, 14], [5], [32]]","[[0.0548529847974842, 0.03876971009608898, 0.113140653202155, 0.055400360420812714], [0.016629039415843032, 0.058666629885201195], [0.06895124751955019, 0.0408371344540359], [0.020625394164259528], [0.06256722330447487]]","[1, 4, 1, 1, 1]",-73503.4943594262,-7.56770310062497
Case: 0028,5901.10981297493,170523.276683006,34003.7075080595,8519.56917494666,100000,28000,"[[2, 4], [1, 12, 14], [6, 9, 20], [7, 11, 19], [3, 5, 10, 16, 17], [8, 15, 18], [13]]","[[9, 12], [12, 4, 5], [3, 10, 3], [7, 4, 13], [2, 1, 1, 1, 3], [4, 1, 11], [4]]","[[0.015657512058173575, 0.0187384159063459], [0.027272220450662327, 0.006412377655244509, 0.017869777713127612], [0.020972586873446265, 0.011640027223807104, 0.01326073236018206], [0.030235121034762263, 0.011905160891125473, 0.02756684303094355], [0.03531358732850347, 0.018201526253179053, 0.0030331018451270867, 0.008461217195891728, 0.006197999514030645], [0.008451549902339664, 0.01126121026014668, 0.04521761180973826], [0.011404647191958488]]","[2, 2, 2, 1, 1, 1, 1]",-19798.4177672076,-10.4026069252902
Case: 0029,440.700129985809,703459.178079924,64900.8260389284,18558.3520409955,500000,120000,"[[2, 4, 7], [1, 5, 10], [6, 8], [3, 9]]","[[6, 5, 6], [4, 9, 21], [2, 53], [103, 9]]","[[0.057811109343944525, 0.020167957967235566, 0.026681509759119818], [0.008024724656919177, 0.16444503633559293, 0.13831893524358727], [0.02205273721171491, 0.14424591273459733], [0.19768202679619606, 0.022590271142621195]]","[1, 1, 1, 2]",22202.3784081109,3.25903219150351
Case: 0030,18781.6045351028,93520.6882933463,14651.5305168442,6869.15777650208,60000,12000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[2, 2, 2, 3, 2, 5, 6, 2, 1, 2, 1, 11, 7, 1, 2, 2, 1, 4, 5, 4]]","[[0.04403925912669025, 0.009855772221787585, 0.014582837035028566, 0.01477663506642522, 0.009205500987364366, 0.009643848489697415, 0.034875065651323145, 0.05743471605247988, 0.0118088657416967, 0.006233254315713513, 0.017877641461979777, 0.01852031756550434, 0.07499179052948088, 0.004820781727678933, 0.028046165159556536, 0.01614931388273397, 0.013846158893750534, 0.011457954550656747, 0.004835013334234232, 0.02505193288270358]]",[6],4691.62128968803,5.28162846683374
